date,views,mem,sum_views
2023-03,0,о господи это новая эмоция,36.0
2023-04,0,о господи это новая эмоция,36.0
2023-05,0,о господи это новая эмоция,36.0
2023-06,0,о господи это новая эмоция,36.0
2023-07,0,о господи это новая эмоция,36.0
2023-08,0,о господи это новая эмоция,36.0
2023-09,0,о господи это новая эмоция,36.0
2023-10,0,о господи это новая эмоция,36.0
2023-11,27,о господи это новая эмоция,36.0
2023-12,61,о господи это новая эмоция,36.0
2024-01,11,о господи это новая эмоция,36.0
2024-02,0,о господи это новая эмоция,36.0
2024-03,0,о господи это новая эмоция,36.0
2024-04,0,о господи это новая эмоция,36.0
2024-05,0,о господи это новая эмоция,36.0
2024-06,68,о господи это новая эмоция,36.0
2024-07,150,о господи это новая эмоция,36.0
2024-08,41,о господи это новая эмоция,36.0
2024-09,37,о господи это новая эмоция,36.0
2024-10,22,о господи это новая эмоция,36.0
2024-11,39,о господи это новая эмоция,36.0
2024-12,66,о господи это новая эмоция,36.0
2025-01,38,о господи это новая эмоция,36.0
2023-03,0,мёд медятина,2377.0
2023-04,0,мёд медятина,2377.0
2023-05,0,мёд медятина,2377.0
2023-06,0,мёд медятина,2377.0
2023-07,0,мёд медятина,2377.0
2023-08,0,мёд медятина,2377.0
2023-09,0,мёд медятина,2377.0
2023-10,0,мёд медятина,2377.0
2023-11,4127,мёд медятина,2377.0
2023-12,5619,мёд медятина,2377.0
2024-01,5116,мёд медятина,2377.0
2024-02,4709,мёд медятина,2377.0
2024-03,5256,мёд медятина,2377.0
2024-04,4104,мёд медятина,2377.0
2024-05,3514,мёд медятина,2377.0
2024-06,1838,мёд медятина,2377.0
2024-07,1674,мёд медятина,2377.0
2024-08,1348,мёд медятина,2377.0
2024-09,1155,мёд медятина,2377.0
2024-10,1210,мёд медятина,2377.0
2024-11,1275,мёд медятина,2377.0
2024-12,2725,мёд медятина,2377.0
2025-01,7454,мёд медятина,2377.0
2023-03,1949,алексей поднебесный,5712.0
2023-04,2844,алексей поднебесный,5712.0
2023-05,3007,алексей поднебесный,5712.0
2023-06,2669,алексей поднебесный,5712.0
2023-07,4878,алексей поднебесный,5712.0
2023-08,5734,алексей поднебесный,5712.0
2023-09,3833,алексей поднебесный,5712.0
2023-10,3243,алексей поднебесный,5712.0
2023-11,3578,алексей поднебесный,5712.0
2023-12,5900,алексей поднебесный,5712.0
2024-01,6189,алексей поднебесный,5712.0
2024-02,21623,алексей поднебесный,5712.0
2024-03,12561,алексей поднебесный,5712.0
2024-04,22322,алексей поднебесный,5712.0
2024-05,18771,алексей поднебесный,5712.0
2024-06,14912,алексей поднебесный,5712.0
2024-07,18669,алексей поднебесный,5712.0
2024-08,108098,алексей поднебесный,5712.0
2024-09,30300,алексей поднебесный,5712.0
2024-10,8468,алексей поднебесный,5712.0
2024-11,6009,алексей поднебесный,5712.0
2024-12,5952,алексей поднебесный,5712.0
2025-01,6507,алексей поднебесный,5712.0
2023-03,0,никто конечно же ничего не,193.0
2023-04,0,никто конечно же ничего не,193.0
2023-05,0,никто конечно же ничего не,193.0
2023-06,0,никто конечно же ничего не,193.0
2023-07,0,никто конечно же ничего не,193.0
2023-08,0,никто конечно же ничего не,193.0
2023-09,0,никто конечно же ничего не,193.0
2023-10,0,никто конечно же ничего не,193.0
2023-11,0,никто конечно же ничего не,193.0
2023-12,0,никто конечно же ничего не,193.0
2024-01,281,никто конечно же ничего не,193.0
2024-02,322,никто конечно же ничего не,193.0
2024-03,288,никто конечно же ничего не,193.0
2024-04,162,никто конечно же ничего не,193.0
2024-05,242,никто конечно же ничего не,193.0
2024-06,139,никто конечно же ничего не,193.0
2024-07,136,никто конечно же ничего не,193.0
2024-08,144,никто конечно же ничего не,193.0
2024-09,159,никто конечно же ничего не,193.0
2024-10,123,никто конечно же ничего не,193.0
2024-11,154,никто конечно же ничего не,193.0
2024-12,193,никто конечно же ничего не,193.0
2025-01,141,никто конечно же ничего не,193.0
2023-03,0,альтушка на госуслугах,561.0
2023-04,0,альтушка на госуслугах,561.0
2023-05,0,альтушка на госуслугах,561.0
2023-06,0,альтушка на госуслугах,561.0
2023-07,0,альтушка на госуслугах,561.0
2023-08,0,альтушка на госуслугах,561.0
2023-09,0,альтушка на госуслугах,561.0
2023-10,0,альтушка на госуслугах,561.0
2023-11,115,альтушка на госуслугах,561.0
2023-12,942,альтушка на госуслугах,561.0
2024-01,6491,альтушка на госуслугах,561.0
2024-02,6693,альтушка на госуслугах,561.0
