date,views,mem,sum_views
2023-03,0,бежевая мама,52148.0
2023-04,0,бежевая мама,52148.0
2023-05,0,бежевая мама,52148.0
2023-06,0,бежевая мама,52148.0
2023-07,0,бежевая мама,52148.0
2023-08,0,бежевая мама,52148.0
2023-09,0,бежевая мама,52148.0
2023-10,0,бежевая мама,52148.0
2023-11,404,бежевая мама,52148.0
2023-12,310,бежевая мама,52148.0
2024-01,384,бежевая мама,52148.0
2024-02,724,бежевая мама,52148.0
2024-03,1203,бежевая мама,52148.0
2024-04,1757,бежевая мама,52148.0
2024-05,1194,бежевая мама,52148.0
2024-06,1011,бежевая мама,52148.0
2024-07,1176,бежевая мама,52148.0
2024-08,1092,бежевая мама,52148.0
2024-09,1074,бежевая мама,52148.0
2024-10,1328,бежевая мама,52148.0
2024-11,1052,бежевая мама,52148.0
2024-12,1913,бежевая мама,52148.0
2025-01,8191,бежевая мама,52148.0
2023-03,1658,причина тряски,6662.0
2023-04,1554,причина тряски,6662.0
2023-05,1551,причина тряски,6662.0
2023-06,1350,причина тряски,6662.0
2023-07,1462,причина тряски,6662.0
2023-08,1496,причина тряски,6662.0
2023-09,1813,причина тряски,6662.0
2023-10,1761,причина тряски,6662.0
2023-11,1803,причина тряски,6662.0
2023-12,1963,причина тряски,6662.0
2024-01,3407,причина тряски,6662.0
2024-02,5264,причина тряски,6662.0
2024-03,8446,причина тряски,6662.0
2024-04,8545,причина тряски,6662.0
2024-05,8148,причина тряски,6662.0
2024-06,6723,причина тряски,6662.0
2024-07,6050,причина тряски,6662.0
2024-08,6017,причина тряски,6662.0
2024-09,5596,причина тряски,6662.0
2024-10,5829,причина тряски,6662.0
2024-11,6595,причина тряски,6662.0
2024-12,7032,причина тряски,6662.0
2025-01,6428,причина тряски,6662.0
2023-03,1805,бобр курва,177528.0
2023-04,2454,бобр курва,177528.0
2023-05,3314,бобр курва,177528.0
2023-06,2825,бобр курва,177528.0
2023-07,2674,бобр курва,177528.0
2023-08,1579,бобр курва,177528.0
2023-09,1349,бобр курва,177528.0
2023-10,4645,бобр курва,177528.0
2023-11,8043,бобр курва,177528.0
2023-12,11763,бобр курва,177528.0
2024-01,18475,бобр курва,177528.0
2024-02,22713,бобр курва,177528.0
2024-03,30177,бобр курва,177528.0
2024-04,54238,бобр курва,177528.0
2024-05,52613,бобр курва,177528.0
2024-06,27677,бобр курва,177528.0
2024-07,24126,бобр курва,177528.0
2024-08,23999,бобр курва,177528.0
2024-09,52457,бобр курва,177528.0
2024-10,70530,бобр курва,177528.0
2024-11,56752,бобр курва,177528.0
2024-12,48181,бобр курва,177528.0
2025-01,146496,бобр курва,177528.0
2023-03,55183,гусь обнимусь,27011.0
2023-04,41617,гусь обнимусь,27011.0
2023-05,41942,гусь обнимусь,27011.0
2023-06,47073,гусь обнимусь,27011.0
2023-07,53235,гусь обнимусь,27011.0
2023-08,52343,гусь обнимусь,27011.0
2023-09,47903,гусь обнимусь,27011.0
2023-10,47544,гусь обнимусь,27011.0
2023-11,62621,гусь обнимусь,27011.0
2023-12,81062,гусь обнимусь,27011.0
2024-01,54613,гусь обнимусь,27011.0
2024-02,40640,гусь обнимусь,27011.0
2024-03,43106,гусь обнимусь,27011.0
2024-04,32501,гусь обнимусь,27011.0
2024-05,26987,гусь обнимусь,27011.0
2024-06,23399,гусь обнимусь,27011.0
2024-07,23470,гусь обнимусь,27011.0
2024-08,29525,гусь обнимусь,27011.0
2024-09,25506,гусь обнимусь,27011.0
2024-10,28112,гусь обнимусь,27011.0
2024-11,30203,гусь обнимусь,27011.0
2024-12,38000,гусь обнимусь,27011.0
2025-01,32541,гусь обнимусь,27011.0
2023-03,1426,святая джавелина,367.0
2023-04,815,святая джавелина,367.0
2023-05,1051,святая джавелина,367.0
