date,views,mem,sum_views
2023-03,0,упал вставай встал упай,5913.0
2023-04,0,упал вставай встал упай,5913.0
2023-05,0,упал вставай встал упай,5913.0
2023-06,163,упал вставай встал упай,5913.0
2023-07,84,упал вставай встал упай,5913.0
2023-08,72,упал вставай встал упай,5913.0
2023-09,118,упал вставай встал упай,5913.0
2023-10,120,упал вставай встал упай,5913.0
2023-11,220,упал вставай встал упай,5913.0
2023-12,231,упал вставай встал упай,5913.0
2024-01,184,упал вставай встал упай,5913.0
2024-02,95,упал вставай встал упай,5913.0
2024-03,86,упал вставай встал упай,5913.0
2024-04,103,упал вставай встал упай,5913.0
2024-05,4294,упал вставай встал упай,5913.0
2024-06,33183,упал вставай встал упай,5913.0
2024-07,19869,упал вставай встал упай,5913.0
2024-08,13674,упал вставай встал упай,5913.0
2024-09,10919,упал вставай встал упай,5913.0
2024-10,9551,упал вставай встал упай,5913.0
2024-11,8915,упал вставай встал упай,5913.0
2024-12,7938,упал вставай встал упай,5913.0
2025-01,6409,упал вставай встал упай,5913.0
2023-03,481,аманда линда и роуз,63716.0
2023-04,706,аманда линда и роуз,63716.0
2023-05,376,аманда линда и роуз,63716.0
2023-06,505,аманда линда и роуз,63716.0
2023-07,417,аманда линда и роуз,63716.0
2023-08,492,аманда линда и роуз,63716.0
2023-09,358,аманда линда и роуз,63716.0
2023-10,351,аманда линда и роуз,63716.0
2023-11,803,аманда линда и роуз,63716.0
2023-12,394,аманда линда и роуз,63716.0
2024-01,413,аманда линда и роуз,63716.0
2024-02,337,аманда линда и роуз,63716.0
2024-03,359,аманда линда и роуз,63716.0
2024-04,417,аманда линда и роуз,63716.0
2024-05,308,аманда линда и роуз,63716.0
2024-06,293,аманда линда и роуз,63716.0
2024-07,336,аманда линда и роуз,63716.0
2024-08,499,аманда линда и роуз,63716.0
2024-09,280,аманда линда и роуз,63716.0
2024-10,395,аманда линда и роуз,63716.0
2024-11,2180,аманда линда и роуз,63716.0
2024-12,67302,аманда линда и роуз,63716.0
2025-01,95911,аманда линда и роуз,63716.0
2023-03,0,я хочу быть пылесосом,6710.0
2023-04,0,я хочу быть пылесосом,6710.0
2023-05,0,я хочу быть пылесосом,6710.0
2023-06,0,я хочу быть пылесосом,6710.0
2023-07,0,я хочу быть пылесосом,6710.0
2023-08,0,я хочу быть пылесосом,6710.0
2023-09,0,я хочу быть пылесосом,6710.0
2023-10,0,я хочу быть пылесосом,6710.0
2023-11,0,я хочу быть пылесосом,6710.0
2023-12,0,я хочу быть пылесосом,6710.0
2024-01,0,я хочу быть пылесосом,6710.0
2024-02,0,я хочу быть пылесосом,6710.0
2024-03,0,я хочу быть пылесосом,6710.0
2024-04,0,я хочу быть пылесосом,6710.0
2024-05,0,я хочу быть пылесосом,6710.0
2024-06,0,я хочу быть пылесосом,6710.0
2024-07,0,я хочу быть пылесосом,6710.0
2024-08,0,я хочу быть пылесосом,6710.0
2024-09,0,я хочу быть пылесосом,6710.0
2024-10,88,я хочу быть пылесосом,6710.0
2024-11,103,я хочу быть пылесосом,6710.0
2024-12,2093,я хочу быть пылесосом,6710.0
2025-01,19150,я хочу быть пылесосом,6710.0
2023-03,0,сидим с бобром,967479.0
2023-04,0,сидим с бобром,967479.0
